tweets,quote_status,language,favorite_count,retweet_count,time,processed_text,cleaned_tweets
It’s missing bughead hours https://t.co/jx9DFIjUKO,False,en,1,0,2021-02-26 19:39:29,"['missing', 'bughead', 'hours']",missing bughead hours
"RT @apreciegIlespie: @djnships Bughead

JATP DESERVES A SEASON 2",False,en,0,1,2021-02-26 19:37:38,"['bughead', 'jatp', 'deserves', 'season', '2']",bughead jatp deserves season 2
RT @BugheadGif: it's good to see you too jug [5.05] #bughead #riverdale https://t.co/O3qlnpVAC9,False,en,0,110,2021-02-26 19:35:25,"['good', 'see', 'jug', '5', '05', 'bughead', 'riverdale']",good see jug 5 05 bughead riverdale
"Choni, Bughead, and Varchie are so relaxing and calming to see",False,en,11,0,2021-02-26 19:35:14,"['choni', 'bughead', 'varchie', 'relaxing', 'calming', 'see']",choni bughead varchie relaxing calming see
"@djnships Bughead

JATP DESERVES A SEASON 2",False,en,1,1,2021-02-26 19:33:16,"['bughead', 'jatp', 'deserves', 'season', '2']",bughead jatp deserves season 2
"@sprcole i mean, he always wears converse, and the picture is a man wearing converse",False,en,0,0,2021-02-26 19:32:21,"['mean', 'always', 'wears', 'converse', 'picture', 'man', 'wearing', 'converse']",mean always wears converse picture man wearing converse
"@geritisfanfic @snsationalmagic @stydisonvibes They would be cute, but the writers would never do that sadly. :/ I can’t help but to feel no matter who they put her with, the storyline is gonna be used to cause angst between the ships. Bughead and Choni will get back together in the end. She deserves better.",False,en,1,0,2021-02-26 19:26:19,"['would', 'cute', 'writers', 'would', 'never', 'sadly', 'help', 'feel', 'matter', 'put', 'storyline', 'gonna', 'used', 'cause', 'angst', 'ships', 'bughead', 'choni', 'get', 'back', 'together', 'end', 'deserves', 'better']",would cute writers would never sadly help feel matter put storyline gonna used cause angst ships bughead choni get back together end deserves better
someone wrote 'bughead' with a heart in my science textbook....i agree,False,en,0,0,2021-02-26 19:24:03,"['someone', 'wrote', 'bughead', 'heart', 'science', 'textbook', 'agree']",someone wrote bughead heart science textbook agree
Started watching Riverdale because of #varchie tbh. I like them almost as much as #bughead. Also like for varchie ;) https://t.co/pwm9qR6mi1,True,en,1,1,2021-02-26 19:20:07,"['started', 'watching', 'riverdale', 'varchie', 'tbh', 'like', 'almost', 'much', 'bughead', 'also', 'like', 'varchie']",started watching riverdale varchie tbh like almost much bughead also like varchie
RT @bugheadIines: im surviving. ‘cause you’re here with me. https://t.co/hKHSZks9Rh,False,en,0,38,2021-02-26 19:18:18,"['im', 'surviving', 'cause']",im surviving cause
RT @fcrsythe: if you think betty and jughead are on good terms right now then you’re not watching the show correctly,False,en,0,20,2021-02-26 19:18:18,"['think', 'betty', 'jughead', 'good', 'terms', 'right', 'watching', 'show', 'correctly']",think betty jughead good terms right watching show correctly
RT @bugheadspov: sigh... #Riverdale https://t.co/Hu4bAajJiZ,False,en,0,68,2021-02-26 19:17:02,"['sigh', 'riverdale']",sigh riverdale
RT @juqheadjonez: thinking abt how theres babies right beside them 💖💘💝💕💞💞💗 https://t.co/VwhvpT625e,False,en,0,11,2021-02-26 19:17:00,"['thinking', 'abt', 'theres', 'babies', 'right', 'beside']",thinking abt theres babies right beside
RT @castrvdooc: one of my favorite videos https://t.co/FjOIkqKVEY,False,en,0,8,2021-02-26 19:16:40,"['one', 'favorite', 'videos']",one favorite videos
